,dish_type,price,star,comment_num,location
300,日本料理,173,4,171,浦东新区
301,日本料理,99,5,24981,嘉定区
302,日本料理,105,5,4137,徐汇区
303,日本料理,245,5,279,浦东新区
304,日本料理,79,5,1126,黄浦区
305,日本料理,42,5,502,闵行区
306,日本料理,155,5,574,静安区
307,日本料理,224,5,709,浦东新区
308,日本料理,165,5,792,虹口区
309,日本料理,241,4,0,虹口区
310,日本料理,208,5,478,闵行区
311,日本料理,156,5,321,黄浦区
312,日本料理,125,5,134,虹口区
313,日本料理,89,5,1078,奉贤区
314,日本料理,270,4,749,闵行区
315,江浙菜,324,5,57,黄浦区
316,江浙菜,30,3,1,宝山区
317,江浙菜,36,5,310,黄浦区
318,江浙菜,354,4,0,静安区
319,江浙菜,0,5,2,其他区
320,江浙菜,110,3,1,青浦区
321,江浙菜,60,4,48,宝山区
322,江浙菜,48,3,0,青浦区
323,江浙菜,18,3,3,松江区
324,江浙菜,117,4,11,长宁区
325,江浙菜,92,5,2580,奉贤区
326,江浙菜,99,4,1545,黄浦区
327,江浙菜,158,4,199,静安区
328,江浙菜,86,4,1166,奉贤区
329,江浙菜,97,4,2490,浦东新区
330,日本料理,146,4,8,普陀区
331,日本料理,52,5,1588,黄浦区
332,日本料理,278,4,698,虹口区
333,日本料理,112,5,186,金山区
334,日本料理,152,4,1401,松江区
335,日本料理,116,4,4702,徐汇区
336,日本料理,180,4,9,徐汇区
337,日本料理,221,4,2058,松江区
338,日本料理,102,5,73,虹口区
339,日本料理,356,4,0,浦东新区
340,日本料理,177,5,755,松江区
341,日本料理,44,5,742,金山区
342,日本料理,139,4,5,黄浦区
343,日本料理,191,4,91,长宁区
344,日本料理,195,4,299,嘉定区
345,蛋糕甜点,240,4,25,黄浦区
346,蛋糕甜点,50,5,1545,普陀区
347,蛋糕甜点,114,5,1251,杨浦区
348,蛋糕甜点,399,4,3,黄浦区
349,蛋糕甜点,15,4,736,奉贤区
350,蛋糕甜点,110,5,493,静安区
351,蛋糕甜点,0,4,20,虹口区
352,蛋糕甜点,109,5,1039,静安区
353,蛋糕甜点,25,4,871,浦东新区
354,蛋糕甜点,18,4,5,长宁区
355,蛋糕甜点,87,4,23,浦东新区
356,蛋糕甜点,10,5,548,松江区
357,蛋糕甜点,177,4,5,浦东新区
358,蛋糕甜点,33,4,271,长宁区
