长宁区,西餐,63
长宁区,韩国料理,13
长宁区,香锅烤鱼,8
闵行区,东北菜,26
闵行区,东南亚菜,23
闵行区,中式烧烤/烤串,90
闵行区,云贵菜,11
闵行区,京菜鲁菜,5
闵行区,代金券,99
闵行区,其他美食,101
闵行区,创意菜,20
闵行区,台湾/客家菜,15
闵行区,小吃快餐,93
闵行区,川湘菜,128
闵行区,新疆菜,8
闵行区,日本料理,108
闵行区,江浙菜,100
闵行区,汤/粥/炖菜,13
闵行区,海鲜,120
闵行区,火锅,106
闵行区,烧烤烤肉,155
闵行区,聚餐宴请,89
闵行区,自助餐,72
闵行区,蛋糕甜点,97
闵行区,西北菜,7
闵行区,西餐,95
闵行区,韩国料理,82
闵行区,香锅烤鱼,58
青浦区,东北菜,7
青浦区,东南亚菜,3
青浦区,中式烧烤/烤串,23
青浦区,云贵菜,4
青浦区,京菜鲁菜,5
青浦区,代金券,49
青浦区,其他美食,45
青浦区,创意菜,4
青浦区,小吃快餐,45
青浦区,川湘菜,47
青浦区,新疆菜,1
青浦区,日本料理,31
青浦区,江浙菜,65
青浦区,汤/粥/炖菜,8
青浦区,海鲜,28
青浦区,火锅,50
青浦区,烧烤烤肉,43
青浦区,聚餐宴请,44
青浦区,自助餐,29
青浦区,蛋糕甜点,40
青浦区,西北菜,3
青浦区,西餐,26
青浦区,韩国料理,11
青浦区,香锅烤鱼,29
静安区,东北菜,9
静安区,东南亚菜,30
静安区,中式烧烤/烤串,44
静安区,云贵菜,7
静安区,京菜鲁菜,12
静安区,代金券,61
静安区,其他美食,51
静安区,创意菜,12
静安区,台湾/客家菜,5
静安区,小吃快餐,70
静安区,川湘菜,40
静安区,新疆菜,6
静安区,日本料理,108
静安区,江浙菜,64
静安区,汤/粥/炖菜,11
静安区,海鲜,47
静安区,火锅,55
静安区,烧烤烤肉,71
静安区,聚餐宴请,55
静安区,自助餐,41
静安区,蛋糕甜点,44
静安区,西北菜,5
静安区,西餐,118
静安区,韩国料理,14
静安区,香锅烤鱼,11
黄浦区,东北菜,3
黄浦区,东南亚菜,40
黄浦区,中式烧烤/烤串,18
黄浦区,云贵菜,10
黄浦区,京菜鲁菜,10
黄浦区,代金券,52
黄浦区,其他美食,50
黄浦区,创意菜,16
黄浦区,台湾/客家菜,7
黄浦区,小吃快餐,79
黄浦区,川湘菜,48
黄浦区,新疆菜,6
黄浦区,日本料理,114
黄浦区,江浙菜,91
黄浦区,汤/粥/炖菜,1
黄浦区,海鲜,50
黄浦区,火锅,58
黄浦区,烧烤烤肉,56
黄浦区,聚餐宴请,62
黄浦区,自助餐,43
黄浦区,蛋糕甜点,69
黄浦区,西北菜,5
黄浦区,西餐,142
黄浦区,韩国料理,20
黄浦区,香锅烤鱼,7
