,dish_type,restaurant_name,price,star,comment_num
249,江浙菜,共富海鲜大酒店（共富路店）,121,4,2
250,江浙菜,士林小馆,39,3,62
251,江浙菜,富膳酒楼,50,4,75
252,江浙菜,枚青·红楼小宴（月亮湾店）,98,4,3
253,江浙菜,江南公社（红石路店）,57,4,797
254,江浙菜,御江南（方舟店）,18,4,809
255,聚餐宴请,千岛湖鱼味馆,88,4,121
256,聚餐宴请,正院上海公馆（1885广场店）,412,4,66
257,聚餐宴请,众和小菜（长兴岛店）,45,4,60
258,聚餐宴请,天都里拉大酒店,77,3,262
259,聚餐宴请,老房子酒家,74,5,160
260,聚餐宴请,淮扬味道,74,4,222
261,聚餐宴请,小神鲜餐厅（娄山关路店）,94,4,63
262,聚餐宴请,嘉宴食府,33,4,135
263,聚餐宴请,KaoLa花园咖啡屋&生日餐厅,119,4,102
264,聚餐宴请,滨江欣景大酒店餐厅,117,4,95
265,聚餐宴请,丰收日（吾悦广场店）,127,3,109
266,聚餐宴请,天禧大酒楼（七宝店）,111,4,333
267,聚餐宴请,斐生大酒店（上南路店）,91,4,351
268,聚餐宴请,邢记老字号崇明糕,35,5,50
269,聚餐宴请,闻道园进士第孚然主题餐厅,90,4,50
270,聚餐宴请,狼来了碳烤羊腿（安波路店）,108,4,321
271,聚餐宴请,汇尊时尚中式餐厅（华漕路店）,65,4,592
272,聚餐宴请,衡山小馆（衡山路店）,96,4,245
273,聚餐宴请,紫荆阁.鲁菜海鲜（东方路店）,176,4,422
274,聚餐宴请,晶会轩（浦东店）,118,4,129
275,聚餐宴请,美龄菜谱（环球港店）,102,4,100
276,聚餐宴请,喜来登盛宴标帜餐厅,161,3,253
277,聚餐宴请,麦盛莉（徐汇店）,66,4,174
278,聚餐宴请,圆苑（梅龙镇广场店）,158,4,199
279,聚餐宴请,天禧大酒楼（东川路店）,102,4,343
280,聚餐宴请,新港湾海鲜酒楼,85,5,176
281,聚餐宴请,金湘缘,71,4,169
282,聚餐宴请,老吉士（上海商城店）,127,4,110
283,聚餐宴请,和美酒家,55,4,299
284,聚餐宴请,农家湘味酒楼,63,4,97
285,江浙菜,思泊湖中餐（邵记美食城店）,63,4,1
286,江浙菜,红枫林农家乐,83,4,21
287,江浙菜,乐阳春,57,4,11
288,江浙菜,共富海鲜大酒店（共富路店）,121,4,2
289,江浙菜,星程怡东大酒店,111,4,27
290,江浙菜,汇膳阁,23,4,8
291,江浙菜,枚青·红楼小宴（月亮湾店）,98,4,3
292,江浙菜,好灶头,57,5,50
293,江浙菜,有间厨房,40,3,1
294,江浙菜,蟹榭（长风大悦城商场店）,165,4,28
295,江浙菜,香喷喷美味馆,24,3,46
296,江浙菜,剑虹饭店,58,4,33
297,江浙菜,隐石佳创意菜,90,4,9
298,江浙菜,大海小鲜（奉浦店）,93,5,1274
299,江浙菜,洪兴餐馆,33,4,12
300,日本料理,多番漫怡精食（新大陆广场店）,173,4,171
301,日本料理,多伦多海鲜自助餐厅（江桥万达店）,99,5,24981
302,日本料理,牛New寿喜烧（徐汇店）,105,5,4137
303,日本料理,多番漫怡精食（金桥国际广场店）,245,5,279
304,日本料理,立方铁@铁板烧（香港名都店）,79,5,1126
305,日本料理,渔喜寿司（莘朱路店）,42,5,502
306,日本料理,牛吞炭火烧肉,155,5,574
307,日本料理,桃山日本料理铁板烧,224,5,709
308,日本料理,一番屋日本料理·铁板烧（上海大厦店）,165,5,792
309,日本料理,多番漫怡精食（上滨生活广场店）,241,4,0
310,日本料理,鱼鱼海鲜日本料理·鱼鱼居酒屋,208,5,478
311,日本料理,伊藤家（瑞金店）,156,5,321
312,日本料理,源季日本料理,125,5,134
313,日本料理,鲜道铁板烧（百联南桥购物中心店）,89,5,1078
314,日本料理,上井精致料理（吴中店）,270,4,749
315,江浙菜,蟹状元阳澄湖大闸蟹（新邻生活广场店）,324,5,57
316,江浙菜,维扬菜馆酸菜鱼,30,3,1
317,江浙菜,怡婷酒楼,36,5,310
318,江浙菜,品臻私房料理,354,4,0
319,江浙菜,金泽庄园,0,5,2
320,江浙菜,华鑫壹号,110,3,1
321,江浙菜,徽派里传统徽菜（宝山万达店）,60,4,48
322,江浙菜,盈港金兰坊,48,3,0
323,江浙菜,三益枫泾烧卖（人民北路店）,18,3,3
324,江浙菜,米桃-吴韵风雅·曲园（南丰城店）,117,4,11
325,江浙菜,蒋记海鲜（望园路店）,92,5,2580
326,江浙菜,上海1号私藏菜（黄浦店）,99,4,1545
327,江浙菜,圆苑（梅龙镇广场店）,158,4,199
