,dish_type,restaurant_name,price,star,comment_num,location
129,江浙菜,蟹臻鲜阳澄湖大闸蟹（古北1699广场店）,100,5,5,闵行区
130,江浙菜,思南汇酒楼,100,4,1246,黄浦区
131,江浙菜,名香泰,56,4,124,青浦区
132,江浙菜,赵氏荣华园（魔方社区店）,233,5,1,嘉定区
133,江浙菜,阿婆小厨,44,4,45,嘉定区
134,江浙菜,龙飞饭店（仓场路店）,82,4,483,嘉定区
135,聚餐宴请,享江南臻品徽菜（大华店）,79,4,389,宝山区
136,聚餐宴请,星港湾新加坡菜（莲花国际广场店）,92,4,844,闵行区
137,聚餐宴请,千岛湖鱼庄（盈港路店）,78,4,185,青浦区
138,聚餐宴请,鑫巴蜀新概念火锅,41,4,286,松江区
139,聚餐宴请,余记小厨（都市路店）,57,4,167,闵行区
140,聚餐宴请,校外酒家（普陀真南店）,39,4,276,普陀区
141,聚餐宴请,新澳申海鲜·火锅,86,4,154,松江区
142,聚餐宴请,麦香城蛋糕,0,4,456,青浦区
143,聚餐宴请,馨悦阁,78,4,109,浦东新区
144,聚餐宴请,徽珍源（潍坊路店）,81,4,549,浦东新区
145,聚餐宴请,倪氏龙虾（水产西路店）,78,4,449,宝山区
146,聚餐宴请,老山东（浦东店）,100,5,1060,浦东新区
147,聚餐宴请,印像老家,73,4,292,嘉定区
148,聚餐宴请,谷丰日（南翔店）,79,4,371,嘉定区
149,聚餐宴请,沪碟精菜坊（新村路店）,98,5,309,宝山区
150,聚餐宴请,苏浙汇（肇嘉浜路总店）,175,4,352,徐汇区
151,聚餐宴请,苏浙汇（港汇店）,191,4,371,徐汇区
152,聚餐宴请,海域1品,91,4,284,金山区
153,聚餐宴请,蒋记海鲜姿造（锦绣店）,95,5,299,浦东新区
154,聚餐宴请,海逸逸荟（滨江店）,146,4,250,浦东新区
155,聚餐宴请,同君福大酒楼（曹安路店）,111,4,211,嘉定区
156,聚餐宴请,漕龙沈记酒楼（漕溪路店）,74,4,442,徐汇区
157,聚餐宴请,麦盛莉宝岛酒店（陈家镇店）,71,5,215,其他区
158,聚餐宴请,飞烤全羊,83,4,197,宝山区
159,聚餐宴请,苏拿咖啡休闲餐厅（曹路店）,38,4,273,浦东新区
160,聚餐宴请,迪豪小田园酒店·餐饮部（谷阳北路店）,93,4,231,松江区
161,聚餐宴请,湖南毛家湘菜（西门路店）,54,4,149,浦东新区
162,聚餐宴请,绣丽餐厅（张江店）,61,4,683,浦东新区
163,聚餐宴请,梦都酒家（万达广场江桥店）,97,4,347,嘉定区
164,聚餐宴请,阿一鲍鱼酒家,369,4,266,长宁区
165,江浙菜,人和馆（肇嘉浜路店）,88,4,1059,徐汇区
166,江浙菜,老绍兴大酒店（沪太路店）,91,4,84,静安区
167,江浙菜,鸿兴家常菜（包头路店）,0,4,54,杨浦区
168,江浙菜,心乐蝶舞江景美食（梅赛德斯奔驰店）,268,4,10,浦东新区
169,江浙菜,梦香村（黎安路店）,79,4,68,闵行区
170,江浙菜,渔家菜,52,4,67,青浦区
171,江浙菜,金虹源食府,123,4,6,闵行区
172,江浙菜,御金香小菜（车墩店）,49,4,304,松江区
173,江浙菜,川沪酒楼,54,5,206,浦东新区
174,江浙菜,黄记阳澄湖大闸蟹,200,4,115,徐汇区
175,江浙菜,森林人家,86,4,58,松江区
176,江浙菜,兴隆菜馆,41,4,166,青浦区
177,江浙菜,龙驿楼,410,5,0,浦东新区
178,江浙菜,青浦老味道,68,4,1468,青浦区
179,江浙菜,小元国（南桥店）,101,4,2485,奉贤区
180,聚餐宴请,天府记,43,4,286,嘉定区
181,聚餐宴请,亚伟酒楼,62,4,215,闵行区
182,聚餐宴请,东信港大酒店,80,4,580,杨浦区
183,聚餐宴请,瑞香阁（上大路店）,53,4,130,宝山区
184,聚餐宴请,深港饭店,59,4,311,浦东新区
185,聚餐宴请,蜀膳传火锅传奇（镇坪店）,77,4,361,普陀区
186,聚餐宴请,金叠轩大酒店,119,4,91,浦东新区
187,聚餐宴请,金桥红枫万豪轩,162,4,185,浦东新区
188,聚餐宴请,大江南酒家,54,4,159,黄浦区
189,聚餐宴请,苏浙汇（联洋广场店）,165,4,232,浦东新区
190,聚餐宴请,我家有渔,78,4,188,松江区
